Name: train_vector_field,, 
Batch Size: 32,, 
Learning Rate: 0.0005,, 
Num Epochs: 500,, 
LR scheduler: True,, 
N Sensors: 150,, 
N Masks: 20,, 
N Examples: [500, 100, 100],, 
Size: 96,, 
Seed: 1,, 
Device: cuda,, 
epoch,train_error,val_error 
0, 2470.62369061, 182.46831055 
1, 143.52024317, 74.99076401 
2, 73.68536019, 63.11655777 
3, 52.56755829, 40.22029118 
4, 35.98581970, 17.65531498 
5, 14.57433987, 7.75890702 
6, 5.36370248, 3.55280235 
7, 2.71284863, 1.96385323 
8, 1.57608415, 1.21244506 
9, 1.06999006, 1.01153662 
10, 0.93709342, 0.78965283 
11, 0.80318337, 0.79437922 
12, 0.86184672, 0.84853446 
13, 0.66284049, 0.67665709 
14, 0.63702497, 0.67005374 
15, 0.69074941, 0.74684556 
16, 0.63550047, 0.71541302 
17, 0.60745647, 0.62183162 
18, 0.56908857, 0.68769263 
19, 0.57100849, 0.65215207 
20, 0.66857371, 0.85435880 
21, 0.69510011, 0.78553854 
22, 0.59181428, 0.59951724 
23, 0.48369680, 0.48528467 
24, 0.54772370, 0.78665742 
25, 0.48349749, 0.45951630 
26, 0.39293783, 0.54529921 
27, 0.48242491, 0.45692367 
28, 0.38391359, 0.46375011 
29, 0.73801497, 0.86985559 
30, 0.48101036, 0.46737498 
31, 0.40865782, 0.42578103 
32, 0.47578688, 0.97524750 
33, 0.60606857, 0.44850679 
34, 0.43345320, 0.51144699 
35, 0.44523737, 0.55349937 
36, 0.45078054, 0.81248391 
37, 0.51094209, 0.43352139 
38, 0.34017892, 0.48424264 
39, 0.39341219, 0.66687934 
40, 0.52545023, 0.62306290 
41, 0.35856300, 0.56542568 
42, 0.38879712, 0.47228286 
43, 0.43022839, 0.46967705 
44, 0.41841524, 0.40686463 
45, 0.46609491, 0.36518530 
46, 0.33561400, 0.80886819 
47, 0.44176819, 0.66170286 
48, 0.43229564, 0.54399077 
49, 0.37625323, 0.51746815 
50, 0.49071757, 0.55836210 
51, 0.39766871, 0.43509262 
52, 0.45266519, 0.55442287 
53, 0.33189885, 0.31209472 
54, 0.37226240, 0.40902005 
55, 0.29448032, 0.33315690 
56, 0.27147587, 0.55477581 
57, 0.34775936, 0.38908405 
58, 0.77223784, 0.75481442 
59, 0.50979907, 0.37605948 
60, 0.63295114, 0.39121741 
61, 0.44143373, 0.33205289 
62, 0.29659550, 0.34181243 
63, 0.21733440, 0.34183091 
64, 0.27111667, 0.40036858 
65, 0.23803617, 0.29517442 
66, 0.21882100, 0.32364523 
67, 0.21385606, 0.49444077 
68, 0.38381960, 0.34559589 
69, 0.43400435, 0.33330835 
70, 0.22733992, 0.32597372 
71, 0.21106143, 0.30437494 
72, 0.27609596, 0.53329597 
73, 0.24331542, 0.29434899 
74, 0.20188272, 0.32657018 
75, 0.19368882, 0.34949185 
76, 0.59082746, 0.72371440 
77, 0.30761021, 0.28262599 
78, 0.19606873, 0.33220517 
79, 0.25502228, 0.33832758 
80, 0.24290625, 0.51750312 
81, 0.29265586, 0.37582272 
